feature,pearson_correlation,abs_pearson_correlation,missing_rate_before_fill
屏式再热器横向第21片屏排_1管管壁温度337,-0.2997267119758342,0.2997267119758342,0.031988873435326845
屏式再热器横向第25片屏排_1管管壁温度_339,-0.2849993201102692,0.2849993201102692,0.02642559109874826
屏式再热器横向第31片屏排_1管管壁温度_342,0.27183832754815435,0.27183832754815435,0.02920723226703755
屏式再热器横向第17片屏排_1管管壁温度335,0.2551665697519431,0.2551665697519431,0.031988873435326845
过热器二级减温器喷水阀位置反馈304,-0.2549480322909166,0.2549480322909166,0.03616133518776078
汽包水位2_242,0.2358134853051741,0.2358134853051741,0.015299026425591099
一次粉管B11风速38,-0.2333179709709357,0.2333179709709357,0.02642559109874826
屏式再热器横向第4片屏排_1管管壁温度328,0.2262679428300973,0.2262679428300973,0.025034770514603615
至高压缸的主蒸汽温度258,-0.21757890236799252,0.21757890236799252,0.02920723226703755
屏式再热器横向第10片屏排_1管管壁温度331,0.21462014693883527,0.21462014693883527,0.031988873435326845
末级再热器进口B汽温_320,0.2086209138710817,0.2086209138710817,0.031988873435326845
汽包水位6_246,-0.19810379702812822,0.19810379702812822,0.025034770514603615
一次粉管B14风速41,-0.1980078358556865,0.1980078358556865,0.03477051460361613
一次粉管B12风速39,-0.1915624798490292,0.1915624798490292,0.02642559109874826
再热器减温器出口A汽温2_317,0.18719954822124116,0.18719954822124116,0.17524339360222532
再热器减温器出口A汽温1_315,0.18361731586007327,0.18361731586007327,0.17524339360222532
一次粉管B21风速42,0.17965857525291734,0.17965857525291734,0.18497913769123783
一次粉管B13风速40,-0.1783510015639963,0.1783510015639963,0.02642559109874826
末级再热器A出口汽温3_325,0.17613072794531023,0.17613072794531023,0.03616133518776078
A磨A1侧风量定值202,0.14747465894012202,0.14747465894012202,0.027816411682892908
末级再热器横向第34排的_1管管壁温度_350,0.14456359374352362,0.14456359374352362,0.03477051460361613
A1侧一次风量136,0.14452874446405686,0.14452874446405686,0.012517385257301807
末级再热器横向第38排的_1管管壁温度_351,0.13912010805478042,0.13912010805478042,0.03477051460361613
末级再热器横向第42排的_1管管壁温度_352,0.13912010805478042,0.13912010805478042,0.03477051460361613
A1侧容量风量负荷139,0.13499849543946774,0.13499849543946774,0.012517385257301807
锅炉主给水调节阀位置反馈302,-0.1349461636742432,0.1349461636742432,0.031988873435326845
A1侧容量风量138,0.1338447609710751,0.1338447609710751,0.013908205841446454
末级再热器A出口汽温2_323,0.12942433891165933,0.12942433891165933,0.03894297635605007
A磨A1侧风量偏置201,0.1278795631498904,0.1278795631498904,0.011126564673157162
过热器一级减温器喷水阀位置反馈303,-0.12164043788588663,0.12164043788588663,0.02642559109874826
热网1A加热器温度调节阀位置反馈285,0.10431532756398235,0.10431532756398235,0.0
屏式再热器横向第6片屏排_1管管壁温度329,0.10188131076099224,0.10188131076099224,0.031988873435326845
末级再热器进口A汽温_319,-0.10063617347239288,0.10063617347239288,0.031988873435326845
主蒸汽温度247,-0.09377050469362322,0.09377050469362322,0.03894297635605007
一次粉管B23风速44,0.08524011069861126,0.08524011069861126,0.18636995827538247
热网#3减温器出口温度调节阀位置反馈299,-0.080682834350057,0.080682834350057,0.2141863699582754
末级再热器横向第28排的_1管管壁温度_349,0.07715415447775734,0.07715415447775734,0.03337969401947149
再热器减温器出口B汽温2_318,0.07702235747887773,0.07702235747887773,0.15299026425591097
再热器减温器出口B汽温1_316,0.07420135548420664,0.07420135548420664,0.15438108484005564
末级再热器A出口汽温1_321,0.05396369208310827,0.05396369208310827,0.03894297635605007
屏式再热器横向第29片屏排_1管管壁温度_341,0.0524693188118842,0.0524693188118842,0.027816411682892908
屏式再热器横向第27片屏排_1管管壁温度_340,0.04339696323025214,0.04339696323025214,0.01808066759388039
一次粉管A13煤粉浓度75,-0.013441227869543097,0.013441227869543097,0.12934631432545202
一次粉管A11煤粉浓度71,-0.008231358119657254,0.008231358119657254,0.13073713490959665
末级再热器横向第12排的_1管管壁温度_346,-0.002546851039561494,0.002546851039561494,0.031988873435326845
汽包水位5_245,-0.0024899900894733663,0.0024899900894733663,0.02920723226703755
屏式再热器横向第8片屏排_1管管壁温度330,0.0013095619526431574,0.0013095619526431574,0.031988873435326845
